No;Hangout Place;Categories;Location;Hangout Information
1;Taman Literasi Martha Christina Tiahahu;Tempat Nongkrong;Taman Literasi;Jl. Sisingamangaraja 3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
2;M Bloc Space;Atraksi;Melawai;Jl. Panglima Polim No.37, RT.1/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
3;Little Tokyo Blok M;Tempat Nongkrong;Melawai;3, Jl. Melawai 6 No.15a, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
4;Taman Ayodya;Tempat Nongkrong;Barito;7, Jl. Lamandau III No.RT.4, RT.4/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
5;Blok M Square;Atraksi;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
6;Blok M Plaza;Atraksi;Plaza Blok-M;Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta
7;Potrait Flagship;Entertainment;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
8;Natural Therapy Spa;Refleksi;Plaza Blok-M;Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta
9;Zoomoov Plaza Blok M;Family Friendly;Plaza Blok-M;Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta
11;ASTHA District;Tempat Nongkrong;Senayan;Jl. Senopati No.83, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190
12;Masjid Al - Azhar;Rohani;Kebayoran Baru;Jl. Sisingamangaraja No.1, RT.2/RW.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110
13;Blok - S;Tempat Nongkrong;Kebayoran Baru;Jl. Wijaya II Blok A, RT.6/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
14;Masjid Nurul Iman;Rohani;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
15;ISA Art & Design;Entertainment;Kebayoran Baru;Jl Wijaya Timur Raya No. 12 Kebayoran Baru 12170 Jakarta, Indonesia
16;Ruci Artspace;Entertainment;Senayan;Jl Senayan 63-65. 2nd Floor. Kebayoran Baru, Jakarta, Indonesia 12180
17;Pasar Kue Subuh ;Family Friendly;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
18;The F Thing Store;Entertainment;Plaza Blok-M;Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta
19;Post Santa;Tempat Nongkrong;Kebayoran Baru;Santa Modern Market, Jl. Cisanggiri II No.6 upper floor, RT.5/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170
20;M Bloc Market;Family Friendly;Melawai;Jl. Panglima Polim No.37, RT.1/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
21;Aksara Bookstore;Entertainment;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
22;Taman Langsat;Tempat Nongkrong;Barito;QQ4V+95Q, Jl. Barito, RT.1/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
23;Inul Vizta Karaoke;Entertainment;Melawai;Jl. Melawai Raya No.189 4, RT.7/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
24;Nav Karaoke ;Entertainment;Blok-M Square;Jl. Melawai 5 No.3, RT.3/RW.1, Kuningan, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130
25;Pasar Raya Blok M;Atraksi;Melawai;Jl. Iskandarsyah II No.2, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
26;Batting Cage Melawai;Atraksi;Melawai;Jl.Melawai Raya No 21 lt 3, RT.2/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
27;Photomatics Blok-M;Entertainment;Melawai;Jl. Melawai Raya No.8, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
30;Paddy Blok-M;Family Friendly;Melawai;Jl. Melawai I No.28A, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160
